hospital_id,hospital_name,address,latitude,longitude,emergency_type,hvec,hvamyn,distance_km
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,37.81842668503607,128.85771413305145,권역응급의료센터,16.0,Y,99.27883486309429
A2200009,강원대학교병원,"강원특별자치도 춘천시 백령로 156-  (효자동,(효자동))",37.87497158192399,127.74448573764938,지역응급의료센터,12.0,Y,1.4685180556631867
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",37.74931042017154,128.8887963251862,지역응급의료기관,4.0,Y,102.86145395785506
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),37.44027922704624,129.16370014395005,지역응급의료센터,16.0,Y,135.4109868333446
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),38.21622784728713,128.5891194514502,지역응급의료센터,16.0,Y,83.95739140293261
A2200002,강원특별자치도영월의료원,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),37.186588403987926,128.46530529870284,지역응급의료기관,9.0,Y,100.86254779696662
A2200015,강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387 (개운동, (개운동))",37.332496031537154,127.94896203327232,지역응급의료기관,6.0,Y,64.00524607235607
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",37.53232311891651,129.1058560226859,응급실운영신고기관,,,127.12021826808667
A2200048,근로복지공단정선병원,강원특별자치도 정선군 정선읍 봉양1길 145,37.3829238141538,128.658420530712,지역응급의료기관,5.0,Y,98.78251331325153
A2200004,근로복지공단태백병원,"강원특별자치도 태백시 보드미길 8 (장성동, (장성동))",37.10404228529155,129.0042870499601,지역응급의료기관,9.0,Y,141.81743534883418
A2200001,연세대학교원주세브란스기독병원,"강원특별자치도 원주시 일산로 20-0 (일산동, (일산동))",37.34795543031888,127.9456453098751,권역응급의료센터,25.0,Y,62.27803749747923
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),37.77432579461282,128.90714180258507,지역응급의료센터,12.0,Y,104.08493163580135
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",37.530006805605616,129.1074043067605,지역응급의료기관,9.0,Y,127.33050041396694
A2200037,의료법인성심의료재단양구성심병원,강원특별자치도 양구군 양구읍 중심로 160,38.1047788862656,127.99119726275,지역응급의료기관,5.0,Y,33.79667947832836
A2200024,의료법인성지의료재단성지병원,강원특별자치도 원주시 원일로 22 (인동),37.3452989790958,127.954009227598,지역응급의료기관,5.0,Y,62.7873008414157
A2200046,의료법인온세움의료재단온재병원,강원특별자치도 속초시 중앙로 11 (교동),38.19802124533656,128.57838660480326,지역응급의료기관,7.0,Y,82.23733383779364
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),37.75910092005996,128.89982468955142,응급실운영신고기관,,,103.66533608001119
A2200033,인성병원,강원특별자치도 춘천시 금강로 39 (낙원동),37.88124367430593,127.7268803699377,응급실운영신고기관,,,0.25631631411898187
A2201730,철원병원,강원특별자치도 철원군 갈말읍 명성로 208-0,38.15033057072112,127.3080276881726,지역응급의료기관,4.0,Y,47.54060361846036
E2200026,평창군보건의료원,강원특별자치도 평창군 평창읍 노성로 11,37.360577433652736,128.3890508672411,지역응급의료기관,6.0,Y,81.99883525139191
A2200013,한림대학교춘천성심병원,강원특별자치도 춘천시 삭주로 77 (교동),37.88413581388737,127.73989454269612,권역응급의료센터,18.0,Y,0.9403693663917202
A2200014,홍천아산병원,강원특별자치도 홍천군 홍천읍 산림공원1길 17,37.69082165229579,127.89490721695594,지역응급의료기관,9.0,Y,25.673332430578043
E2200025,화천군보건의료원,강원특별자치도 화천군 화천읍 강변로 111 (화천군보건의료원),38.1073824571151,127.708883438378,지역응급의료기관,7.0,Y,25.205952428900794
A2200016,횡성대성병원,강원특별자치도 횡성군 횡성읍 횡성로 275,37.47845901170136,127.97994775890872,지역응급의료기관,9.0,Y,49.910927934185125
