label,precision,recall,f1_score,support
내과,1.0,1.0,1.0,2
내분비내과,1.0,1.0,1.0,5
류마티스내과,1.0,1.0,1.0,3
비뇨의학과,1.0,0.9091,0.9524,11
산부인과,0.8333,1.0,0.9091,5
소아청소년과,0.5,1.0,0.6667,5
소화기내과,1.0,1.0,1.0,56
신경과,1.0,1.0,1.0,28
심장내과,0.9787,1.0,0.9892,46
안과,0.8667,1.0,0.9286,26
알레르기내과,1.0,1.0,1.0,43
외과,1.0,1.0,1.0,3
응급의학과,0.9966,0.9738,0.9851,305
이비인후과,1.0,1.0,1.0,8
정신건강의학과,1.0,1.0,1.0,8
정형외과,1.0,0.9846,0.9922,65
피부과,1.0,1.0,1.0,6
호흡기내과,0.9726,0.9467,0.9595,75
macro avg,0.9527,0.9897,0.9657,700
weighted avg,0.9845,0.98,0.9813,700
