target,model,accuracy,macro_f1,weighted_f1,train_rows,test_rows,classes
symptom_group,baseline_most_frequent,0.2723,0.0285,0.1166,2511,628,15
symptom_group,word_tfidf_logreg,0.9618,0.935,0.9638,2511,628,15
symptom_group,char_tfidf_logreg,0.9427,0.8906,0.9494,2511,628,15
symptom_group,char_tfidf_linear_svc,0.9809,0.97,0.9809,2511,628,15
department,baseline_most_frequent,0.4793,0.0463,0.3106,2511,628,14
department,word_tfidf_logreg,0.957,0.918,0.9616,2511,628,14
department,char_tfidf_logreg,0.9379,0.8603,0.9452,2511,628,14
department,char_tfidf_linear_svc,0.9841,0.968,0.9845,2511,628,14
suspected_disease,baseline_most_frequent,0.035,0.0009,0.0024,2511,628,76
suspected_disease,word_tfidf_logreg,0.9793,0.945,0.9797,2511,628,76
suspected_disease,char_tfidf_logreg,0.9745,0.905,0.973,2511,628,76
suspected_disease,char_tfidf_linear_svc,0.9857,0.941,0.9851,2511,628,76
