label,precision,recall,f1_score,support
abdominal,1.0,0.9836,0.9917,61
allergy,0.9783,1.0,0.989,45
bleeding,1.0,1.0,1.0,60
cardio,0.9722,0.9859,0.979,71
endocrine,1.0,1.0,1.0,5
ent,1.0,1.0,1.0,1
eye,0.963,1.0,0.9811,26
foreign_body,1.0,1.0,1.0,3
hematology,1.0,1.0,1.0,2
infection,1.0,1.0,1.0,2
musculoskeletal,1.0,1.0,1.0,6
neuro,1.0,0.9697,0.9846,33
obgy,1.0,1.0,1.0,5
pediatric,0.625,1.0,0.7692,5
psychiatric,1.0,1.0,1.0,10
respiratory,0.9877,0.9524,0.9697,84
skin,1.0,1.0,1.0,5
toxic,1.0,0.9883,0.9941,171
trauma,0.9895,1.0,0.9947,94
urology,1.0,1.0,1.0,11
macro avg,0.9758,0.994,0.9827,700
weighted avg,0.9888,0.9871,0.9876,700
