suspected_disease,query,target_count
뇌진탕 의심 두부손상,머리 맞음 응급실 증상,30
뇌진탕 의심 두부손상,두부외상 응급실 증상,30
뇌진탕 의심 두부손상,기절 응급실 증상,30
뇌진탕 의심 두부손상,의식소실 응급실 증상,30
뇌진탕 의심 두부손상,구토 응급실 증상,30
뇌진탕 의심 두부손상,사다리 추락 응급실 증상,30
뇌진탕 의심 두부손상,뇌진탕 의심 두부손상 증상 응급,30
외상성 뇌손상,두부손상 응급실 증상,30
외상성 뇌손상,의식저하 응급실 증상,30
외상성 뇌손상,반복구토 응급실 증상,30
외상성 뇌손상,두통악화 응급실 증상,30
외상성 뇌손상,두개골골절 응급실 증상,30
외상성 뇌손상,외상성 뇌손상 증상 응급,30
경추손상,목 다침 응급실 증상,30
경추손상,목 통증 응급실 증상,30
경추손상,팔다리 마비 응급실 증상,30
경추손상,추락 응급실 증상,30
경추손상,교통사고 응급실 증상,30
경추손상,경추손상 증상 응급,30
척추손상,허리 외상 응급실 증상,30
척추손상,감각저하 응급실 증상,30
척추손상,마비 응급실 증상,30
척추손상,대소변장애 응급실 증상,30
척추손상,추락 응급실 증상,30
척추손상,척추손상 증상 응급,30
다발성외상,교통사고 응급실 증상,30
다발성외상,추락 응급실 증상,30
다발성외상,여러 부위 손상 응급실 증상,30
다발성외상,의식저하 응급실 증상,30
다발성외상,출혈 응급실 증상,30
다발성외상,다발성외상 증상 응급,30
개방성 골절,뼈 보임 응급실 증상,30
개방성 골절,개방성 골절 응급실 증상,30
개방성 골절,출혈 응급실 증상,30
개방성 골절,변형 응급실 증상,30
개방성 골절,극심한 통증 응급실 증상,30
개방성 골절,개방성 골절 증상 응급,30
절단손상,손가락 절단 응급실 증상,30
절단손상,발가락 절단 응급실 증상,30
절단손상,절단 응급실 증상,30
절단손상,압궤 응급실 증상,30
절단손상,출혈 응급실 증상,30
절단손상,절단손상 증상 응급,30
압궤손상,끼임 응급실 증상,30
압궤손상,눌림 응급실 증상,30
압궤손상,압궤 응급실 증상,30
압궤손상,붓기 응급실 증상,30
압궤손상,감각저하 응급실 증상,30
압궤손상,압궤손상 증상 응급,30
안면외상,얼굴 다침 응급실 증상,30
안면외상,코피 응급실 증상,30
안면외상,턱 통증 응급실 증상,30
안면외상,시야 이상 응급실 증상,30
안면외상,치아 손상 응급실 증상,30
안면외상,안면외상 증상 응급,30
고열 동반 호흡곤란,40도 열 응급실 증상,30
고열 동반 호흡곤란,고열 응급실 증상,30
고열 동반 호흡곤란,숨쉬기 힘듦 응급실 증상,30
고열 동반 호흡곤란,호흡곤란 응급실 증상,30
고열 동반 호흡곤란,청색증 응급실 증상,30
고열 동반 호흡곤란,고열 동반 호흡곤란 증상 응급,30
폐렴 의심 고열,고열 응급실 증상,30
폐렴 의심 고열,기침 응급실 증상,30
폐렴 의심 고열,가래 응급실 증상,30
폐렴 의심 고열,숨참 응급실 증상,30
폐렴 의심 고열,흉통 응급실 증상,30
폐렴 의심 고열,폐렴 의심 고열 증상 응급,30
천식 악화,천식 응급실 증상,30
천식 악화,쌕쌕 응급실 증상,30
천식 악화,흡입기 응급실 증상,30
천식 악화,숨참 응급실 증상,30
천식 악화,말하기 어려움 응급실 증상,30
천식 악화,천식 악화 증상 응급,30
COPD 급성악화,만성폐질환 응급실 증상,30
COPD 급성악화,가래 증가 응급실 증상,30
COPD 급성악화,숨참 응급실 증상,30
COPD 급성악화,청색증 응급실 증상,30
COPD 급성악화,산소 응급실 증상,30
COPD 급성악화,COPD 급성악화 증상 응급,30
기흉,갑작스런 흉통 응급실 증상,30
기흉,숨참 응급실 증상,30
기흉,한쪽 가슴 응급실 증상,30
기흉,마른체형 응급실 증상,30
기흉,호흡곤란 응급실 증상,30
기흉,기흉 증상 응급,30
폐색전증,갑작스런 숨참 응급실 증상,30
폐색전증,흉통 응급실 증상,30
폐색전증,다리부종 응급실 증상,30
폐색전증,수술후 응급실 증상,30
폐색전증,장거리 이동 응급실 증상,30
폐색전증,폐색전증 증상 응급,30
급성 심부전,숨참 응급실 증상,30
급성 심부전,누우면 악화 응급실 증상,30
급성 심부전,다리부종 응급실 증상,30
급성 심부전,거품가래 응급실 증상,30
급성 심부전,심부전 응급실 증상,30
급성 심부전,급성 심부전 증상 응급,30
대동맥박리,찢어지는 흉통 응급실 증상,30
대동맥박리,등 통증 응급실 증상,30
대동맥박리,혈압차 응급실 증상,30
대동맥박리,실신 응급실 증상,30
대동맥박리,대동맥 응급실 증상,30
대동맥박리,대동맥박리 증상 응급,30
고혈압성 응급,혈압 180 응급실 증상,30
고혈압성 응급,심한 두통 응급실 증상,30
고혈압성 응급,흉통 응급실 증상,30
고혈압성 응급,시야 이상 응급실 증상,30
고혈압성 응급,신경증상 응급실 증상,30
고혈압성 응급,고혈압성 응급 증상 응급,30
실신,기절 응급실 증상,30
실신,쓰러짐 응급실 증상,30
실신,의식소실 응급실 증상,30
실신,어지럼 응급실 증상,30
실신,회복 응급실 증상,30
실신,실신 증상 응급,30
경련 발작,경련 응급실 증상,30
경련 발작,발작 응급실 증상,30
경련 발작,거품 응급실 증상,30
경련 발작,의식저하 응급실 증상,30
경련 발작,반복 응급실 증상,30
경련 발작,경련 발작 증상 응급,30
수막염 의심,고열 응급실 증상,30
수막염 의심,목 뻣뻣 응급실 증상,30
수막염 의심,두통 응급실 증상,30
수막염 의심,구토 응급실 증상,30
수막염 의심,의식저하 응급실 증상,30
수막염 의심,수막염 의심 증상 응급,30
편두통 위험징후,두통 응급실 증상,30
편두통 위험징후,시야번쩍 응급실 증상,30
편두통 위험징후,구토 응급실 증상,30
편두통 위험징후,편측 응급실 증상,30
편두통 위험징후,반복 응급실 증상,30
편두통 위험징후,편두통 위험징후 증상 응급,30
급성 충수염,오른쪽 아랫배 응급실 증상,30
급성 충수염,복통 응급실 증상,30
급성 충수염,열 응급실 증상,30
급성 충수염,구토 응급실 증상,30
급성 충수염,눌렀다 뗄 때 통증 응급실 증상,30
급성 충수염,급성 충수염 증상 응급,30
담낭염,오른쪽 윗배 응급실 증상,30
담낭염,열 응급실 증상,30
담낭염,구토 응급실 증상,30
담낭염,기름진 음식 응급실 증상,30
담낭염,황달 응급실 증상,30
담낭염,담낭염 증상 응급,30
요로결석,옆구리 통증 응급실 증상,30
요로결석,혈뇨 응급실 증상,30
요로결석,구토 응급실 증상,30
요로결석,소변통 응급실 증상,30
요로결석,극심한 통증 응급실 증상,30
요로결석,요로결석 증상 응급,30
급성 신우신염,고열 응급실 증상,30
급성 신우신염,옆구리 통증 응급실 증상,30
급성 신우신염,소변통 응급실 증상,30
급성 신우신염,오한 응급실 증상,30
급성 신우신염,혈뇨 응급실 증상,30
급성 신우신염,급성 신우신염 증상 응급,30
고환염전,고환통 응급실 증상,30
고환염전,갑작스런 통증 응급실 증상,30
고환염전,붓기 응급실 증상,30
고환염전,구토 응급실 증상,30
고환염전,청소년 응급실 증상,30
고환염전,고환염전 증상 응급,30
노로바이러스 의심 급성 위장염,굴 응급실 증상,30
노로바이러스 의심 급성 위장염,생굴 응급실 증상,30
노로바이러스 의심 급성 위장염,해산물 응급실 증상,30
노로바이러스 의심 급성 위장염,구토 응급실 증상,30
노로바이러스 의심 급성 위장염,설사 응급실 증상,30
노로바이러스 의심 급성 위장염,복통 응급실 증상,30
노로바이러스 의심 급성 위장염,오한 응급실 증상,30
노로바이러스 의심 급성 위장염,노로바이러스 의심 급성 위장염 증상 응급,30
식중독,상한 음식 응급실 증상,30
식중독,구토 응급실 증상,30
식중독,설사 응급실 증상,30
식중독,복통 응급실 증상,30
식중독,열 응급실 증상,30
식중독,식중독 증상 응급,30
중증 탈수,소변감소 응급실 증상,30
중증 탈수,입마름 응급실 증상,30
중증 탈수,어지럼 응급실 증상,30
중증 탈수,반복구토 응급실 증상,30
중증 탈수,설사 응급실 증상,30
중증 탈수,중증 탈수 증상 응급,30
저혈당,당뇨 응급실 증상,30
저혈당,식은땀 응급실 증상,30
저혈당,손떨림 응급실 증상,30
저혈당,의식저하 응급실 증상,30
저혈당,혈당 낮음 응급실 증상,30
저혈당,저혈당 증상 응급,30
고혈당성 응급,당뇨 응급실 증상,30
고혈당성 응급,혈당 높음 응급실 증상,30
고혈당성 응급,구토 응급실 증상,30
고혈당성 응급,복통 응급실 증상,30
고혈당성 응급,의식저하 응급실 증상,30
고혈당성 응급,고혈당성 응급 증상 응급,30
패혈증 의심,고열 응급실 증상,30
패혈증 의심,저체온 응급실 증상,30
패혈증 의심,의식저하 응급실 증상,30
패혈증 의심,호흡빠름 응급실 증상,30
패혈증 의심,혈압저하 응급실 증상,30
패혈증 의심,패혈증 의심 증상 응급,30
